series	series_original	compartment
United Kingdom_Anglia_AnOpenSea_fi05 PB Limanda limanda MU Not_applicable	United Kingdom_Anglia_AnOpenSea_fi05 PB Limanda limanda MU Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi05 PB Pleuronectes platessa MU Not_applicable	United Kingdom_Anglia_AnOpenSea_fi05 PB Pleuronectes platessa MU Not_applicable	biota
Germany_NBOF3 PB Zoarces viviparus MU Not_applicable	Germany_NBOF3 PB Zoarces viviparus MU Not_applicable	biota
Germany_NBOF8 PB Zoarces viviparus MU Not_applicable	Germany_NBOF8 PB Zoarces viviparus MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi01 PB Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi01 PB Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 PB Pleuronectes platessa MU Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 PB Pleuronectes platessa MU Not_applicable	biota
Denmark_LIM-3722-1 PB Mytilus edulis SB Not_applicable	Denmark_LIM-3722-1 PB Mytilus edulis SB Not_applicable	biota
Denmark_LIM-3702-2 PB Mytilus edulis SB Not_applicable	Denmark_LIM-3702-2 PB Mytilus edulis SB Not_applicable	biota
Denmark_LIM-3702-4 PB Mytilus edulis SB Not_applicable	Denmark_LIM-3702-4 PB Mytilus edulis SB Not_applicable	biota
Denmark_RKB-VE3 PB Mytilus edulis SB Not_applicable	Denmark_RKB-VE3 PB Mytilus edulis SB Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi03 PB Limanda limanda LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi03 PB Limanda limanda LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi03 PB Pleuronectes platessa LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi03 PB Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi05 PB Limanda limanda LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi05 PB Limanda limanda LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi05 PB Pleuronectes platessa LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi05 PB Pleuronectes platessa LI Not_applicable	biota
Germany_NBNF3 PB Mytilus edulis SB Not_applicable	Germany_NBNF3 PB Mytilus edulis SB Not_applicable	biota
Germany_NBNF5 PB Mytilus edulis SB Not_applicable	Germany_NBNF5 PB Mytilus edulis SB Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 PB Pleuronectes platessa LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 PB Pleuronectes platessa LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi01 PB Limanda limanda MU Not_applicable	United Kingdom_Anglia_AnOpenSea_fi01 PB Limanda limanda MU Not_applicable	biota
Germany_NBOF8 PB Larus argentatus EH Not_applicable	Germany_NBOF8 PB Larus argentatus EH Not_applicable	biota
Denmark_DMU R1035 PB Pleuronectes platessa MU Not_applicable	Denmark_DMU R1035 PB Pleuronectes platessa MU Not_applicable	biota
United Kingdom_HumWash_HWInter_fi02 PB Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWInter_fi02 PB Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWInter_fi01 PB Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWInter_fi01 PB Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi02 PB Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi02 PB Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi03 PB Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi03 PB Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi04 PB Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi04 PB Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 PB Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 PB Limanda limanda MU Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi01 PB Limanda limanda MU Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi01 PB Limanda limanda MU Not_applicable	biota
Denmark_RKB-RFMS1 PB Mya arenaria SB Not_applicable	Denmark_RKB-RFMS1 PB Mya arenaria SB Not_applicable	biota
Denmark_LIM-3720-1 PB Mytilus edulis SB Not_applicable	Denmark_LIM-3720-1 PB Mytilus edulis SB Not_applicable	biota
Denmark_SJYLISD5001 PB Mytilus edulis SB Not_applicable	Denmark_SJYLISD5001 PB Mytilus edulis SB Not_applicable	biota
Denmark_RIB2151001 PB Mytilus edulis SB Not_applicable	Denmark_RIB2151001 PB Mytilus edulis SB Not_applicable	biota
United Kingdom_Anglia_Orwell_sh01 PB Mytilus edulis SB Not_applicable	United Kingdom_Anglia_Orwell_sh01 PB Mytilus edulis SB Not_applicable	biota
Denmark_DMU R1035 PB Pleuronectes platessa LI Not_applicable	Denmark_DMU R1035 PB Pleuronectes platessa LI Not_applicable	biota
Denmark_RIB2161010 PB Mytilus edulis SB Not_applicable	Denmark_RIB2161010 PB Mytilus edulis SB Not_applicable	biota
Denmark_RIB2161022 PB Mytilus edulis SB Not_applicable	Denmark_RIB2161022 PB Mytilus edulis SB Not_applicable	biota
Denmark_LIM-3705-1 PB Mytilus edulis SB Not_applicable	Denmark_LIM-3705-1 PB Mytilus edulis SB Not_applicable	biota
Belgium_BCP PB Platichthys flesus LI Not_applicable	Belgium_BCP PB Platichthys flesus LI Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi01 PB Limanda limanda LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi01 PB Limanda limanda LI Not_applicable	biota
United Kingdom_Anglia_Oblackwat_sh01 PB Mytilus edulis SB Not_applicable	United Kingdom_Anglia_Oblackwat_sh01 PB Mytilus edulis SB Not_applicable	biota
Germany_Spog_Myt_1 PB Mytilus edulis SB Not_applicable	Germany_Spog_Myt_1 PB Mytilus edulis SB Not_applicable	biota
Germany_FOE-GB1 PB Limanda limanda LI Not_applicable	Germany_FOE-GB1 PB Limanda limanda LI Not_applicable	biota
Germany_Balt_F_1 PB Platichthys flesus LI Not_applicable	Germany_Balt_F_1 PB Platichthys flesus LI Not_applicable	biota
Germany_FOE-GB3 PB Limanda limanda LI Not_applicable	Germany_FOE-GB3 PB Limanda limanda LI Not_applicable	biota
Germany_FOE-N01 PB Limanda limanda LI Not_applicable	Germany_FOE-N01 PB Limanda limanda LI Not_applicable	biota
Germany_Bork_Myt_1 PB Mytilus edulis SB Not_applicable	Germany_Bork_Myt_1 PB Mytilus edulis SB Not_applicable	biota
The Netherlands_BOCHTVWTM PB Crassostrea gigas SB Not_applicable	The Netherlands_BOCHTVWTM PB Crassostrea gigas SB Not_applicable	biota
The Netherlands_DOGGBK PB Pleuronectes platessa LI Not_applicable	The Netherlands_DOGGBK PB Pleuronectes platessa LI Not_applicable	biota
The Netherlands_IJMDWT80 PB Pleuronectes platessa LI Not_applicable	The Netherlands_IJMDWT80 PB Pleuronectes platessa LI Not_applicable	biota
The Netherlands_MIDDGBWPMLPT PB Platichthys flesus LI Not_applicable	The Netherlands_MIDDGBWPMLPT PB Platichthys flesus LI Not_applicable	biota
The Netherlands_NOORDWWT PB Platichthys flesus LI Not_applicable	The Netherlands_NOORDWWT PB Platichthys flesus LI Not_applicable	biota
The Netherlands_PAAPGTGRDPT PB Platichthys flesus LI Not_applicable	The Netherlands_PAAPGTGRDPT PB Platichthys flesus LI Not_applicable	biota
The Netherlands_TERSLNWT40 PB Pleuronectes platessa LI Not_applicable	The Netherlands_TERSLNWT40 PB Pleuronectes platessa LI Not_applicable	biota
The Netherlands_KNUITHK PB Crassostrea gigas SB Not_applicable	The Netherlands_KNUITHK PB Crassostrea gigas SB Not_applicable	biota
Denmark_SJY JUVD5001 PB Mytilus edulis SB Not_applicable	Denmark_SJY JUVD5001 PB Mytilus edulis SB Not_applicable	biota
United Kingdom_HumWash_HWInter_fi02 PB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWInter_fi02 PB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWInter_fi01 PB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWInter_fi01 PB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi02 PB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi02 PB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi03 PB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi03 PB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi01 PB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi01 PB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi04 PB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi04 PB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi01 PB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi01 PB Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_Witham_sh01 PB Mytilus edulis SB Not_applicable	United Kingdom_HumWash_Witham_sh01 PB Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_KNO PB Mytilus edulis SB Not_applicable	Belgium_DVZ_KNO PB Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_NWP PB Mytilus edulis SB Not_applicable	Belgium_DVZ_NWP PB Mytilus edulis SB Not_applicable	biota
Belgium_DVZ_OST PB Mytilus edulis SB Not_applicable	Belgium_DVZ_OST PB Mytilus edulis SB Not_applicable	biota
United Kingdom_Anglia_ThamesLw_sh01 PB Mytilus edulis SB Not_applicable	United Kingdom_Anglia_ThamesLw_sh01 PB Mytilus edulis SB Not_applicable	biota
The Netherlands_KNUITHK PB Mytilus edulis SB Not_applicable	The Netherlands_KNUITHK PB Mytilus edulis SB Not_applicable	biota
Germany_Nney_Myt_1 PB Mytilus edulis SB Not_applicable	Germany_Nney_Myt_1 PB Mytilus edulis SB Not_applicable	biota
Germany_WuKu_Myt_1 PB Mytilus edulis SB Not_applicable	Germany_WuKu_Myt_1 PB Mytilus edulis SB Not_applicable	biota
Germany_AuWe_F_1 PB Platichthys flesus LI Not_applicable	Germany_AuWe_F_1 PB Platichthys flesus LI Not_applicable	biota
Germany_Jade_F_1 PB Platichthys flesus LI Not_applicable	Germany_Jade_F_1 PB Platichthys flesus LI Not_applicable	biota
Germany_Jade_Myt_1 PB Mytilus edulis SB Not_applicable	Germany_Jade_Myt_1 PB Mytilus edulis SB Not_applicable	biota
Germany_JaBu_Myt_1 PB Mytilus edulis SB Not_applicable	Germany_JaBu_Myt_1 PB Mytilus edulis SB Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 PB Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 PB Limanda limanda LI Not_applicable	biota
France_Le Castel PB Cerastoderma edule SB Not_applicable	France_Le Castel PB Cerastoderma edule SB Not_applicable	biota
France_Brouennou PB Cerastoderma edule SB Not_applicable	France_Brouennou PB Cerastoderma edule SB Not_applicable	biota
France_Petit Taureau PB Cerastoderma edule SB Not_applicable	France_Petit Taureau PB Cerastoderma edule SB Not_applicable	biota
France_Saint-Brieuc coques PB Cerastoderma edule SB Not_applicable	France_Saint-Brieuc coques PB Cerastoderma edule SB Not_applicable	biota
France_Sillon noir PB Cerastoderma edule SB Not_applicable	France_Sillon noir PB Cerastoderma edule SB Not_applicable	biota
France_Vildé PB Ruditapes philippinarum SB Not_applicable	France_Vildé PB Ruditapes philippinarum SB Not_applicable	biota
France_Ville Ger PB Ruditapes philippinarum SB Not_applicable	France_Ville Ger PB Ruditapes philippinarum SB Not_applicable	biota
France_Fresnaie coques PB Cerastoderma edule SB Not_applicable	France_Fresnaie coques PB Cerastoderma edule SB Not_applicable	biota
France_Gisement rade PB Venus verrucosa SB Not_applicable	France_Gisement rade PB Venus verrucosa SB Not_applicable	biota
France_Baie de la Fresnaye PB Cerastoderma edule SB Not_applicable	France_Baie de la Fresnaye PB Cerastoderma edule SB Not_applicable	biota
France_Kervel PB Donax trunculus SB Not_applicable	France_Kervel PB Donax trunculus SB Not_applicable	biota
France_Le Douron PB Cerastoderma edule SB Not_applicable	France_Le Douron PB Cerastoderma edule SB Not_applicable	biota
France_Baie de Lampaul PB Crassostrea gigas SB Not_applicable	France_Baie de Lampaul PB Crassostrea gigas SB Not_applicable	biota
Ireland_Cromane PB Crassostrea gigas SB Not_applicable	Ireland_Cromane PB Crassostrea gigas SB Not_applicable	biota
France_Camaret - Pointe Sainte Barbe PB Mytilus edulis SB Not_applicable	France_Camaret - Pointe Sainte Barbe PB Mytilus edulis SB Not_applicable	biota
France_Kernisi PB Crassostrea gigas SB Not_applicable	France_Kernisi PB Crassostrea gigas SB Not_applicable	biota
France_Large anse de l'Auberlac'h - blocs de béton PB Mytilus edulis SB Not_applicable	France_Large anse de l'Auberlac'h - blocs de béton PB Mytilus edulis SB Not_applicable	biota
France_Pointe de Glugeau PB Crassostrea gigas SB Not_applicable	France_Pointe de Glugeau PB Crassostrea gigas SB Not_applicable	biota
France_Pointe de Glugeau PB Mytilus edulis SB Not_applicable	France_Pointe de Glugeau PB Mytilus edulis SB Not_applicable	biota
France_Sillon des anglais - Kerberon PB Mytilus edulis SB Not_applicable	France_Sillon des anglais - Kerberon PB Mytilus edulis SB Not_applicable	biota
France_Aulne Rive droite PB Mytilus edulis SB Not_applicable	France_Aulne Rive droite PB Mytilus edulis SB Not_applicable	biota
France_Aulne Rive droite PB Mytilus galloprovincialis SB Not_applicable	France_Aulne Rive droite PB Mytilus galloprovincialis SB Not_applicable	biota
France_Cancale eau profonde PB Crepidula fornicata SB Not_applicable	France_Cancale eau profonde PB Crepidula fornicata SB Not_applicable	biota
France_Rossermeur PB Ruditapes decussatus SB Not_applicable	France_Rossermeur PB Ruditapes decussatus SB Not_applicable	biota
United Kingdom_Severn_SeInter_fi01 PB Limanda limanda MU Not_applicable	United Kingdom_Severn_SeInter_fi01 PB Limanda limanda MU Not_applicable	biota
United Kingdom_Severn_SeOpenSeaE_fi01 PB Limanda limanda MU Not_applicable	United Kingdom_Severn_SeOpenSeaE_fi01 PB Limanda limanda MU Not_applicable	biota
France_Le Castel PB Crassostrea gigas SB Not_applicable	France_Le Castel PB Crassostrea gigas SB Not_applicable	biota
France_La Gauthier PB Mytilus edulis SB Not_applicable	France_La Gauthier PB Mytilus edulis SB Not_applicable	biota
France_St Michel en Grève PB Mytilus galloprovincialis SB Not_applicable	France_St Michel en Grève PB Mytilus galloprovincialis SB Not_applicable	biota
France_Baie de Lampaul PB Mytilus edulis SB Not_applicable	France_Baie de Lampaul PB Mytilus edulis SB Not_applicable	biota
France_Cancale sud PB Crassostrea gigas SB Not_applicable	France_Cancale sud PB Crassostrea gigas SB Not_applicable	biota
France_Kersanton PB Mytilus edulis SB Not_applicable	France_Kersanton PB Mytilus edulis SB Not_applicable	biota
France_Kervel PB Crassostrea gigas SB Not_applicable	France_Kervel PB Crassostrea gigas SB Not_applicable	biota
United Kingdom_Severn_Camel_sh02 PB Mytilus edulis SB Not_applicable	United Kingdom_Severn_Camel_sh02 PB Mytilus edulis SB Not_applicable	biota
France_Beg Nod PB Crassostrea gigas SB Not_applicable	France_Beg Nod PB Crassostrea gigas SB Not_applicable	biota
France_La Gauthier PB Mytilus galloprovincialis SB Not_applicable	France_La Gauthier PB Mytilus galloprovincialis SB Not_applicable	biota
France_St Michel en Grève PB Mytilus edulis SB Not_applicable	France_St Michel en Grève PB Mytilus edulis SB Not_applicable	biota
France_Pen al Lann PB Crassostrea gigas SB Not_applicable	France_Pen al Lann PB Crassostrea gigas SB Not_applicable	biota
Ireland_Bantry Bay Inner PB Mytilus edulis SB Not_applicable	Ireland_Bantry Bay Inner PB Mytilus edulis SB Not_applicable	biota
Ireland_Cromane PB Mytilus edulis SB Not_applicable	Ireland_Cromane PB Mytilus edulis SB Not_applicable	biota
Ireland_Glengariff PB Mytilus edulis SB Not_applicable	Ireland_Glengariff PB Mytilus edulis SB Not_applicable	biota
Ireland_Kenmare River Outer Stn 1 PB Mytilus edulis SB Not_applicable	Ireland_Kenmare River Outer Stn 1 PB Mytilus edulis SB Not_applicable	biota
Ireland_Kilmakillogue PB Mytilus edulis SB Not_applicable	Ireland_Kilmakillogue PB Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Inner PB Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Inner PB Mytilus edulis SB Not_applicable	biota
France_Pointe du Roselier PB Mytilus edulis SB Not_applicable	France_Pointe du Roselier PB Mytilus edulis SB Not_applicable	biota
France_Pointe du Roselier PB Mytilus galloprovincialis SB Not_applicable	France_Pointe du Roselier PB Mytilus galloprovincialis SB Not_applicable	biota
Ireland_Bantry Bay Inner CB138 Mytilus edulis SB Not_applicable	Ireland_Bantry Bay Inner CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Cork Harbour CB138 Mytilus edulis SB Not_applicable	Ireland_Cork Harbour CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Cromane CB138 Mytilus edulis SB Not_applicable	Ireland_Cromane CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Glengariff CB138 Mytilus edulis SB Not_applicable	Ireland_Glengariff CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Kilmakillogue CB138 Mytilus edulis SB Not_applicable	Ireland_Kilmakillogue CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Lough Mahon CB138 Mytilus edulis SB Not_applicable	Ireland_Lough Mahon CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Owenacurra Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Owenacurra Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Inner CB138 Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Inner CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Roaringwater Bay Outer Stn 1 CB138 Mytilus edulis SB Not_applicable	Ireland_Roaringwater Bay Outer Stn 1 CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Kenmare River Outer Stn 1 CB138 Mytilus edulis SB Not_applicable	Ireland_Kenmare River Outer Stn 1 CB138 Mytilus edulis SB Not_applicable	biota
France_Kervel CB138 Mytilus edulis SB Not_applicable	France_Kervel CB138 Mytilus edulis SB Not_applicable	biota
France_St Michel en Grève CB138 Mytilus edulis SB Not_applicable	France_St Michel en Grève CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Ringaskiddy CB138 Mytilus edulis SB Not_applicable	Ireland_Ringaskiddy CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Severn_SeInter_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_Severn_SeInter_fi01 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_Severn_SeOpenSeaE_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_Severn_SeOpenSeaE_fi01 CB138 Limanda limanda LI Not_applicable	biota
Ireland_Cork Harbour North Channel CB138 Mytilus edulis SB Not_applicable	Ireland_Cork Harbour North Channel CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_MinchMalin_LoughFoyle_sh03 CB138 Mytilus edulis SB Not_applicable	United Kingdom_MinchMalin_LoughFoyle_sh03 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Hebrides_HebIntermediate_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_Hebrides_HebIntermediate_fi01 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_MinchMalin_Colonsay_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_MinchMalin_Colonsay_fi01 CB138 Limanda limanda LI Not_applicable	biota
Ireland_Fenit CB138 Mytilus edulis SB Not_applicable	Ireland_Fenit CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Quigleys Point CB138 Ostrea edulis SB Not_applicable	Ireland_Quigleys Point CB138 Ostrea edulis SB Not_applicable	biota
United Kingdom_MinchMalin_TheMinchNorth_fi02 CB138 Limanda limanda LI Not_applicable	United Kingdom_MinchMalin_TheMinchNorth_fi02 CB138 Limanda limanda LI Not_applicable	biota
Ireland_Ballysadare Bay CB138 Mytilus edulis SB Not_applicable	Ireland_Ballysadare Bay CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Broadhaven Bay CB138 Mytilus edulis SB Not_applicable	Ireland_Broadhaven Bay CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Bruckless CB138 Mytilus edulis SB Not_applicable	Ireland_Bruckless CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Clarenbridge CB138 Crassostrea gigas SB Not_applicable	Ireland_Clarenbridge CB138 Crassostrea gigas SB Not_applicable	biota
Ireland_Clew Bay North CB138 Mytilus edulis SB Not_applicable	Ireland_Clew Bay North CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Corrib Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Corrib Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Drumcliff CB138 Crassostrea gigas SB Not_applicable	Ireland_Drumcliff CB138 Crassostrea gigas SB Not_applicable	biota
Ireland_Gweebarra Bay CB138 Mytilus edulis SB Not_applicable	Ireland_Gweebarra Bay CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Inch Lough CB138 Mytilus edulis SB Not_applicable	Ireland_Inch Lough CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Kilkieran Bay North CB138 Mytilus edulis SB Not_applicable	Ireland_Kilkieran Bay North CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Killary Harbour Inner CB138 Mytilus edulis SB Not_applicable	Ireland_Killary Harbour Inner CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Lee K Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Lee K Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Maharees CB138 Ostrea edulis SB Not_applicable	Ireland_Maharees CB138 Ostrea edulis SB Not_applicable	biota
Ireland_Mulroy Bay - Broadwater CB138 Mytilus edulis SB Not_applicable	Ireland_Mulroy Bay - Broadwater CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Quigleys Point CB138 Mytilus edulis SB Not_applicable	Ireland_Quigleys Point CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Shannon Estuary - Aughinish CB138 Mytilus edulis SB Not_applicable	Ireland_Shannon Estuary - Aughinish CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Swilly Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Swilly Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Westport Bay CB138 Mytilus edulis SB Not_applicable	Ireland_Westport Bay CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_MinchMalin_Colonsay_fi01 CB138 Pleuronectes platessa LI Not_applicable	United Kingdom_MinchMalin_Colonsay_fi01 CB138 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_MinchMalin_TheMinchNorth_fi02 CB138 Pleuronectes platessa LI Not_applicable	United Kingdom_MinchMalin_TheMinchNorth_fi02 CB138 Pleuronectes platessa LI Not_applicable	biota
Ireland_Sligo Bay CB138 Mytilus edulis SB Not_applicable	Ireland_Sligo Bay CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Gweebarra Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Gweebarra Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Rosses Point CB138 Mytilus edulis SB Not_applicable	Ireland_Rosses Point CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Tralee Bay Inner CB138 Ostrea edulis SB Not_applicable	Ireland_Tralee Bay Inner CB138 Ostrea edulis SB Not_applicable	biota
Ireland_Kinvara CB138 Mytilus edulis SB Not_applicable	Ireland_Kinvara CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_StrangfordLoughS_sh02 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_StrangfordLoughS_sh02 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_BelfastLoughInnr_sh10 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_BelfastLoughInnr_sh10 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_BelfastLoughInnr_sh08 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_BelfastLoughInnr_sh08 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_BelfastLoughInnr_sh12 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_BelfastLoughInnr_sh12 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_DundrumBayInner_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_DundrumBayInner_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_NewryEstuary_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_NewryEstuary_sh01 CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Tolka Estuary CB138 Mytilus edulis SB Not_applicable	Ireland_Tolka Estuary CB138 Mytilus edulis SB Not_applicable	biota
Ireland_LSE Little Island - Cheekpoint CB138 Mytilus edulis SB Not_applicable	Ireland_LSE Little Island - Cheekpoint CB138 Mytilus edulis SB Not_applicable	biota
Ireland_Waterford Harbour Stn 2 CB138 Mytilus edulis SB Not_applicable	Ireland_Waterford Harbour Stn 2 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_SouthArran_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_Clyde_SouthArran_fi01 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_IrishSea_BalcaryPoint_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_IrSGyreIntermed_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSGyreIntermed_fi01 CB138 Limanda limanda LI Not_applicable	biota
Ireland_Waterford Harbour Stn 1 CB138 Mytilus edulis SB Not_applicable	Ireland_Waterford Harbour Stn 1 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_Clyde_LochRyan_sh01 CB138 Mytilus edulis SB Not_applicable	United Kingdom_Clyde_LochRyan_sh01 CB138 Mytilus edulis SB Not_applicable	biota
United Kingdom_IrishSea_BalcaryPoint_fi01 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_BalcaryPoint_fi01 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi05 CB138 Limanda limanda LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi05 CB138 Limanda limanda LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi05 CB138 Pleuronectes platessa LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi05 CB138 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_IrishSea_IrSIntermediateE_fi05 CB138 Merlangius merlangus LI Not_applicable	United Kingdom_IrishSea_IrSIntermediateE_fi05 CB138 Merlangius merlangus LI Not_applicable	biota
United Kingdom_CardBay_CBInter_fi02 CB138 Limanda limanda LI Not_applicable	United Kingdom_CardBay_CBInter_fi02 CB138 Limanda limanda LI Not_applicable	biota
