series	series_original	compartment
Denmark_DMU R1035 CB156 Pleuronectes platessa LI Not_applicable	Denmark_DMU R1035 CB156 Pleuronectes platessa LI Not_applicable	biota
United Kingdom_HumWash_HWInter_fi02 CB156 Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWInter_fi02 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWInter_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWInter_fi01 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaS_fi02 CB156 Pleuronectes platessa LI Not_applicable	United Kingdom_HumWash_HWOpenSeaS_fi02 CB156 Pleuronectes platessa LI Not_applicable	biota
Germany_AuWe_F_1 CB156 Platichthys flesus MU Not_applicable	Germany_AuWe_F_1 CB156 Platichthys flesus MU Not_applicable	biota
The Netherlands_BOCHTVWTM CB156 Crassostrea gigas SB Not_applicable	The Netherlands_BOCHTVWTM CB156 Crassostrea gigas SB Not_applicable	biota
United Kingdom_Anglia_AnOpenSea_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_Anglia_AnOpenSea_fi01 CB156 Limanda limanda LI Not_applicable	biota
The Netherlands_DOGGBK CB156 Pleuronectes platessa LI Not_applicable	The Netherlands_DOGGBK CB156 Pleuronectes platessa LI Not_applicable	biota
The Netherlands_IJMDWT80 CB156 Pleuronectes platessa LI Not_applicable	The Netherlands_IJMDWT80 CB156 Pleuronectes platessa LI Not_applicable	biota
The Netherlands_TERSLNWT40 CB156 Pleuronectes platessa LI Not_applicable	The Netherlands_TERSLNWT40 CB156 Pleuronectes platessa LI Not_applicable	biota
The Netherlands_KNUITHK CB156 Crassostrea gigas SB Not_applicable	The Netherlands_KNUITHK CB156 Crassostrea gigas SB Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi02 CB156 Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi02 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi03 CB156 Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi03 CB156 Limanda limanda LI Not_applicable	biota
United Kingdom_HumWash_HWOpenSeaNE_fi01 CB156 Limanda limanda LI Not_applicable	United Kingdom_HumWash_HWOpenSeaNE_fi01 CB156 Limanda limanda LI Not_applicable	biota
